Place_Id,Place_Name,Category
1,Monumen Nasional,Budaya
2,Kota Tua,Budaya
3,Dunia Fantasi,Taman Hiburan
4,Taman Mini Indonesia Indah (TMII),Taman Hiburan
5,Atlantis Water Adventure,Taman Hiburan
6,Taman Impian Jaya Ancol,Taman Hiburan
7,Kebun Binatang Ragunan,Cagar Alam
8,Ocean Ecopark,Taman Hiburan
9,Pelabuhan Marina,Bahari
10,Pulau Tidung,Bahari
11,Pulau Bidadari,Bahari
12,Pulau Pari,Bahari
13,Pulau Pramuka,Bahari
14,Pulau Pelangi,Bahari
15,Pasar Seni,Pusat Perbelanjaan
16,Jembatan Kota Intan,Budaya
17,Museum Fatahillah,Budaya
18,Museum Bank Indonesia,Budaya
19,Kidzania,Taman Hiburan
20,Museum Taman Prasasti,Budaya
21,Museum Wayang,Budaya
22,Masjid Istiqlal,Tempat Ibadah
23,Gereja Katedral,Tempat Ibadah
24,Museum Nasional,Budaya
25,Pasar Tanah Abang,Pusat Perbelanjaan
26,Pecinan Glodok,Pusat Perbelanjaan
27,Sea World,Taman Hiburan
28,Wisata Agro Edukatif Istana Susu Cibugary,Taman Hiburan
29,Wisata Kuliner Pecenongan,Pusat Perbelanjaan
30,Taman Menteng,Taman Hiburan
31,Wisata Alam Mangrove Angke,Cagar Alam
32,Setu Babakan,Budaya
33,Taman Suropati,Taman Hiburan
34,Pasar Taman Puring,Pusat Perbelanjaan
35,Grand Indonesia Mall,Pusat Perbelanjaan
36,Skyrink - Mall Taman Anggrek,Taman Hiburan
37,Bumi Perkemahan Cibubur,Taman Hiburan
38,Istana Negara Republik Indonesia,Budaya
39,Museum Macan (Modern and Contemporary Art in Nusantara),Budaya
40,Galeri Nasional Indonesia,Budaya
41,Museum Bahari Jakarta,Budaya
42,Museum Seni Rupa dan Kramik,Budaya
43,The Escape Hunt,Taman Hiburan
44,Monumen Selamat Datang,Budaya
45,Jakarta Aquarium dan Safari,Taman Hiburan
46,Pulau Semak Daun,Bahari
47,Taman Situ Lembang,Taman Hiburan
48,Taman Ismail Marzuki,Budaya
49,Galeri Indonesia Kaya,Budaya
50,Museum Joang 45,Budaya
51,Jakarta Planetarium,Taman Hiburan
52,Kampung Cina,Budaya
53,Rumah Sipitung,Budaya
54,Taman Agrowisata Cilangkap,Taman Hiburan
55,Klenteng Jin De Yuan,Tempat Ibadah
56,Pantai Ancol,Bahari
57,Taman Lapangan Banteng,Taman Hiburan
58,Taman Ayodya,Taman Hiburan
59,Museum Sumpah Pemuda,Budaya
60,Museum Tekstil,Budaya
61,Tugu Proklamasi,Budaya
62,Taman Legenda Keong Emas,Taman Hiburan
63,Museum Kebangkitan Nasional,Budaya
64,Museum Sasmita Loka Ahmad Yani,Budaya
65,Museum Basoeki Abdullah,Budaya
66,Museum Layang-layang,Budaya
67,Margasatwa Muara Angke,Cagar Alam
68,Pasar Petak Sembilan,Pusat Perbelanjaan
69,Freedom Library,Budaya
70,Perpustakaan Nasional,Budaya
71,Cibubur Garden Diary (Cibugary),Cagar Alam
72,Waterboom PIK (Pantai Indah Kapuk),Taman Hiburan
73,Museum Perangko,Budaya
74,Museum Tengah Kebun,Budaya
